NELFB,DDB1
DDB1,DDB1
PARN,DDB1
RPRD2,DDB1
MTX1,DDB1
PLIN3,DDB1
SFSWAP,DDB1
MFN2,DDB1
TPR,DDB1
PRKAG1,DDB1
ATG9A,DDB1
BECN1,DDB1
BRD3,DDB1
TERF2IP,DDB1
SRRT,DDB1
STK19,DDB1
CIB1,DDB1
TSTA3,DDB1
CSNK1D,DDB1
RABAC1,DDB1
OTUB1,DDB1
PCGF2,DDB1
TUBGCP2,DDB1
CDC25C,DDB1
ZNF271,DDB1
DAXX,DDB1
MPST,DDB1
TOMM34,DDB1
DNAJC7,DDB1
SPRN,DDB1
TP53BP1,DDB1
CUL4B,DDB1
DNAJC13,DDB1
UFD1L,DDB1
SMAD2,DDB1
DNPH1,DDB1
STX3,DDB1
PDIA4,DDB1
RANBP3,DDB1
NDUFB5,DDB1
EIF2B5,DDB1
GLUD1,DDB1
ILK,DDB1
TBL2,DDB1
TMED1,DDB1
UBE3C,DDB1
YIF1A,DDB1
GOLGA3,DDB1
SEC62,DDB1
NCOR2,DDB1
CETN3,DDB1
PDXDC1,DDB1
MYCBP,DDB1
SEC23IP,DDB1
HLTF,DDB1
HMGN4,DDB1
ALG3,DDB1
SCARB1,DDB1
TXLNA,DDB1
ZPR1,DDB1
CAD,DDB1
CCT4,DDB1
VARS,DDB1
MLEC,DDB1
BMS1,DDB1
GNL2,DDB1
TFAP4,DDB1
PSMD3,DDB1
MMS19,DDB1
SGTA,DDB1
EBP,DDB1
EIF6,DDB1
ESYT1,DDB1
USP5,DDB1
PSMD2,DDB1
WDR18,DDB1
KAT2A,DDB1
PDE6D,DDB1
ELK1,DDB1
KDM3B,DDB1
NUP62,DDB1
XPO6,DDB1
PWP1,DDB1
SUMO4,DDB1
ATXN2L,DDB1
POLR2C,DDB1
SERP1,DDB1
SMNDC1,DDB1
CLSTN1,DDB1
VAMP3,DDB1
EIF2S1,DDB1
MCM2,DDB1
EXTL3,DDB1
TTI1,DDB1
BPHL,DDB1
CHD3,DDB1
NFYB,DDB1
CPSF4,DDB1
CSTF3,DDB1
ERCC2,DDB1
FANCG,DDB1
PCGF1,DDB1
SLC25A11,DDB1
BAHD1,DDB1
SH2B1,DDB1
FDXR,DDB1
NFRKB,DDB1
WDR62,DDB1
KIAA0195,DDB1
TRIM27,DDB1
HNRNPL,DDB1
PEX6,DDB1
SMC5,DDB1
RERE,DDB1
SEC31A,DDB1
SS18,DDB1
AP3B1,DDB1
CSNK2A1,DDB1
ADAM15,DDB1
DDX11,DDB1
EML3,DDB1
B4GALT3,DDB1
PRKCSH,DDB1
NUDT3,DDB1
CNP,DDB1
IKBKG,DDB1
FAM189B,DDB1
MGAT1,DDB1
NDST1,DDB1
PKMYT1,DDB1
TCOF1,DDB1
RPA2,DDB1
PCBP3,DDB1
RING1,DDB1
RABGGTA,DDB1
TRIP13,DDB1
DRAP1,DDB1
DDX18,DDB1
ALDH4A1,PRKAG1
EBI3,PRKAG1
PSG7,PRKAG1
EHBP1,PRKAG1
ANKRD17,PRKAG1
AHCYL1,PRKAG1
FBXW11,PRKAG1
RTN4,PRKAG1
LANCL1,PRKAG1
