probe_1,probe_2,rp,rp_pval,gene_1,gene_2,rg,rg_se,p1_h2,p2_h2,exp_se,p1_chr,p2_chr,p1_co,p2_co,dist,cis_trans,p_val
ILMN_1695812,ILMN_1672120,0.647,0,KRT72,KRT73,0.78,0.115,0.678,0.459,0.083,12,12,51265802,53001378,1735576,cis,1.18E-14
ILMN_1676980,ILMN_2073289,0.565,0,MTSS1,MTSS1,0.873,0.129,0.48,0.711,0.092,8,8,125633709,125632315,1394,cis,1.31E-14
ILMN_1682259,ILMN_1665457,0.715,0,CLEC4C,CLEC4C,0.905,0.134,0.322,0.477,0.093,12,12,7882291,7898956,16665,cis,1.44E-14
ILMN_2402805,ILMN_1694671,0.001,0.95,TRPC4AP,ZFAND2A,-0.536,0.08,0.999,0.656,0.127,20,7,33590378,1159104,NA,trans,2.08E-14
ILMN_2116366,ILMN_1653469,0.595,0,RPL12,RPL12,1,0.15,0.588,0.466,0.099,9,9,130213607,130213016,591,cis,2.62E-14
ILMN_1668277,ILMN_2228180,0.077,0.001,BLK,MSRA,0.975,0.148,0.358,0.772,0.222,8,8,11420520,10323581,1096939,cis,4.46E-14
ILMN_1722492,ILMN_2051900,0.681,0,DUSP19,EID2B,0.995,0.155,0.367,0.301,0.122,2,19,183672674,44713911,NA,trans,1.37E-13
ILMN_1874689,ILMN_2055781,0.531,0,HS.554507,KLRF1,0.968,0.151,0.313,0.507,0.148,9,12,126462570,9888803,NA,trans,1.45E-13
ILMN_1726308,ILMN_1756139,0.749,0,FAM10A4,LOC643310,1,0.156,0.299,0.259,0.115,13,X,49645209,92429452,NA,trans,1.45E-13
ILMN_1691071,ILMN_1669881,0.521,0,FCRLA,TSPAN13,0.979,0.153,0.394,0.342,0.165,1,7,159950596,16789855,NA,trans,1.57E-13
ILMN_1806056,ILMN_2193213,0.878,0,CEACAM8,DEFA1,0.828,0.13,0.252,0.26,0.098,19,8,47776394,6837554,NA,trans,1.90E-13
ILMN_1737195,ILMN_2325028,-0.009,0.719,CENPK,ODF2L,-0.521,0.082,0.999,0.654,0.125,5,1,64853096,86820222,NA,trans,2.10E-13
ILMN_1737195,ILMN_1717524,0.064,0.007,CENPK,LIPT1,-0.521,0.082,0.999,0.561,0.143,5,2,64853096,99145252,NA,trans,2.10E-13
ILMN_1704985,ILMN_1668526,-0.033,0.163,CYP27A1,GVIN1,-0.514,0.081,0.999,0.716,0.117,2,11,219387910,6691459,NA,trans,2.21E-13
ILMN_1659227,ILMN_2366212,0.764,0,CD79A,CD79B,1,0.158,0.315,0.281,0.101,19,17,42383286,62006098,NA,trans,2.47E-13
ILMN_1719064,ILMN_1772459,0.071,0.003,KCTD10,RPS23,0.532,0.085,0.999,0.999,0.097,12,5,109886624,81605044,NA,trans,3.88E-13
ILMN_1656868,ILMN_1768311,0.53,0,LOC23117,LOC728888,1,0.16,0.427,0.369,0.151,16,16,21321256,29301000,7979744,cis,4.10E-13
ILMN_1902121,ILMN_2341815,0.054,0.023,HS.537971,TFG,0.812,0.13,0.334,0.933,0.198,1,3,93932023,100467642,NA,trans,4.21E-13
ILMN_1791912,ILMN_1778668,0.662,0,SIDT2,TAGLN,1,0.162,0.839,0.292,0.087,11,11,116573261,116580580,7319,cis,6.71E-13
ILMN_1798177,ILMN_1776188,0.041,0.088,CHURC1,MAP1LC3A,0.511,0.084,0.999,0.652,0.122,14,20,64471249,32611733,NA,trans,1.18E-12
ILMN_1676528,ILMN_1662905,-0.023,0.343,BTN3A2,NME1-NME2,0.493,0.082,0.999,0.568,0.136,6,17,26378113,46599246,NA,trans,1.83E-12
ILMN_1661266,ILMN_1752592,0.364,0,HLA-DQB1,HLA-DRB4,0.881,0.147,0.718,0.75,0.105,6,6,32736001,32581153,154848,cis,2.06E-12
